trade_price,trade_size,side,best_bid,best_ask,bid_depth5,ask_depth5,is_taker
108511.08,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.08,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.08,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.08,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.08,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.08,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.08,0.1,buy,108470.13,108470.14,0.45529,11.18205,0
108511.08,0.00129,buy,108470.13,108470.14,0.45529,11.18205,0
108511.08,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.08,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.08,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.09,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.09,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.09,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.09,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.09,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.09,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.09,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.09,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.09,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.09,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.09,0.0001,buy,108470.13,108470.14,0.45529,11.18205,0
108511.09,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.09,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.09,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.49,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.58,0.00307,buy,108470.13,108470.14,0.45529,11.18205,0
108511.58,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.58,0.0001,buy,108470.13,108470.14,0.45529,11.18205,0
108511.61,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.62,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.62,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.62,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.62,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.63,0.02283,buy,108470.13,108470.14,0.45529,11.18205,0
108511.63,0.02336,buy,108470.13,108470.14,0.45529,11.18205,0
108511.63,0.02287,buy,108470.13,108470.14,0.45529,11.18205,0
108511.63,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.63,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.63,0.0001,buy,108470.13,108470.14,0.45529,11.18205,0
108511.63,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.63,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.63,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108511.7,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108512.39,0.00046,buy,108470.13,108470.14,0.45529,11.18205,0
108512.39,0.00046,buy,108470.13,108470.14,0.45529,11.18205,0
108513.26,0.00049,buy,108470.13,108470.14,0.45529,11.18205,0
108513.87,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108513.87,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108513.87,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108514.46,0.00456,buy,108470.13,108470.14,0.45529,11.18205,0
108514.46,0.0034,buy,108470.13,108470.14,0.45529,11.18205,0
108514.54,0.01418,buy,108470.13,108470.14,0.45529,11.18205,0
108514.54,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108515.15,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108515.15,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108515.15,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108515.16,0.01743,buy,108470.13,108470.14,0.45529,11.18205,0
108515.16,0.0181,buy,108470.13,108470.14,0.45529,11.18205,0
108515.16,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108515.16,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108515.16,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108515.16,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,0.0001,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,0.00881,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,0.0004,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,0.0046,buy,108470.13,108470.14,0.45529,11.18205,0
108516.04,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
